Ref,Location,Series,Rock Type,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Rb,Sr,Ba,Cs,Sc,V,Cr,Co,Ni,Cu,Zn,Y,Zr,Nb,Hf,Ta,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Pb,Th,U,Ga
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,298,1874,5395,1.722,14.2,96.6,269,29.82,245,32.03,95.8,23.72,1006,105.8,25.1,5.72,202,370,37.8,128.7,15.5,5.86,16.17,1.591,5.4,0.917,2.81,0.255,1.636,0.21,41.8,26.3,3.27,19.5
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,297,1918,5916,1.681,14.6,99.8,272,30.86,244,32.39,1919.6,24.38,1040,108.6,25.3,5.76,215.2,385,38.1,129.2,15.62,5.98,16.54,1.653,5.65,0.916,2.793,0.25,1.59,0.207,107.1,26.2,3.25,20.1
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,405,2256,7144,2.434,19.3,116.9,312,34.54,240,39.54,2638.5,30.47,1847,147.3,47.3,7.38,267.7,488,50.5,172,20.37,7.39,19.77,1.995,6.9,1.163,3.54,0.335,2.107,0.279,141,39.7,5.02,26.2
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,293,1810,5390,1.573,14.1,87.5,268,29.92,247,29.66,709.8,24.08,1170,105.5,28.9,4.96,201.3,367,37,129,15.47,5.58,14.9,1.511,5.43,0.906,2.754,0.262,1.642,0.215,63.4,27.2,3.32,19.5
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,319,1744,5641,1.948,15.4,91.2,267,28.94,225,31.83,275.1,26.2,1430,113.5,37.7,5.76,211.7,386,39.6,136.2,16.51,5.86,15.92,1.635,5.78,0.973,2.983,0.296,1.832,0.247,51.3,31.7,3.97,21.1
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,298,1816,5691,1.421,14,94.4,253,29.32,235,29.19,1016,24.42,1056,105,26.5,5.45,208.7,380,38.7,133.4,16.16,5.86,15.19,1.546,5.48,0.906,2.741,0.253,1.608,0.205,72.9,27.4,3.26,19
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,294,1714,5319,1.541,14.1,86.7,272,29.46,249,28.78,1095.1,23.34,1144,101.4,29,4.99,196.5,360,36.9,126.1,15.52,5.56,14.55,1.497,5.32,0.871,2.661,0.245,1.599,0.211,75.1,27.6,3.24,19.2
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Antarctica,Anorogenic,Lamproite (Ol-leucitite),50.9,3.42,9.86,6.66,0.09,7.75,4.63,1.65,11.61,1.48,315,1808,5550,,,106,306,,233,29,79,18,1004,90,,,210,337,,,,,,,,,,,,,40,30,2.5,18
Lustrino et al. 2016 JVGR,Utah (USA),Anorogenic,Lamproite,30.14,3.85,8.43,8.2,0.17,4.6,16.96,0.15,7.23,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Utah (USA),Anorogenic,Lamproite,28.55,3.3,8.32,8.65,0.14,5.5,18.6,0.13,7.44,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,49.7,4.02,6.6,7.2,0.12,12.5,2.81,2.29,9.41,,185,4280,11300,,16.7,,766,44,525,,,28,1075,122,,,182,359,,,11.8,2.6,,0.51,,23.8,,,1.17,0.28,,11.5,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,50,3.81,7.93,7.06,0.11,12.1,3.07,1.79,10,,209,3180,10000,,14.6,,837,44.8,,,,,,,,,163,291,,,10.2,2.14,,0.47,,26.2,,,1.24,0.23,,9.9,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,43.4,3.9,7.08,8.88,0.11,13.7,4.2,2.12,8.91,,278,3640,9110,,19.6,,955,44.9,,,,,,,,,305,577,,,20.7,4.03,,0.65,,21.7,,,0.61,0.13,,25.9,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,44.7,6.78,5.88,7.62,0.13,6.77,4.78,2.68,8.96,,255,3570,27700,,88,,124,29.2,,,,,,,,,372,593,,,18.6,3.83,,0.62,,20.5,,,1.64,0.29,,41.9,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,44.2,5.59,6.54,9.38,0.14,9.94,6.17,2,9.24,,274,3330,14100,,29.7,,229,38,,,,,,,,,468,856,,,36.9,6.88,,1.11,,80,,,1.23,0.38,,43.5,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,45.6,3.72,7.08,8.74,0.13,12.5,4.73,1.86,9.87,,289,3760,8030,,20,,880,51.3,540,,,32,1045,117,,,265,486,,,19.3,4.47,,0.73,,24.5,,,1.39,0.27,,20.3,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,42,3,7.88,8.53,0.13,14.4,4.78,3.6,7.32,,291,4720,7210,,15.4,,922,50.7,,,,,,,,,350,625,,,24.7,5.16,,0.86,,24.8,,,1.25,0.24,,23.4,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,45,3.65,6.84,8.83,0.11,13.3,5.1,1.6,9.6,,325,4540,6570,,18.4,,868,42.8,,,,,,,,,299,537,,,23,4.61,,0.82,,29.6,,,0.89,0.22,,23.8,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,41.4,3.86,5.2,9.21,0.14,16.2,4.84,2.36,7.92,,297,2520,9510,,14.9,,955,52.2,760,,,40,1130,141,,,295,540,,,23.5,4.91,,0.95,,24.4,,,0.85,0.24,,24.1,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,39.3,3.1,5.91,8.75,0.13,19.4,4.79,2.45,7.71,,311,2850,6040,,17,,1097,62,,,,,,,,,413,740,,,25.5,6.21,,1,,28.4,,,1.75,0.26,,27.5,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,41.2,8.38,5,9.35,0.14,9.2,6.68,2.26,8.81,,304,4920,17900,,29.7,,513,41.6,,,,,,,,,744,1351,,,62.5,14.2,,2.16,,31.6,,,2.3,0.41,,66.2,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,45.5,3.14,5.6,8.85,0.13,16,4.03,1.42,10.1,,330,1380,7280,,18.1,,862,52,,,,,,,,,239,442,,,17.1,3.64,,0.64,,16.9,,,1,0.21,,20.4,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,48,3.19,8.47,7.22,0.1,15.1,5.13,1.89,8.73,,193,2877,18600,,16.6,,1160,46.3,,,,,,,,,234,447,,,20.4,4.22,,0.82,,20.9,,,0.96,0.14,,16.7,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,49.1,3.39,6.01,7.69,0.11,17.3,3.52,2.09,7.64,,159,2047,4180,,14.1,,1035,57.3,,,,,,,,,166,230,,,8.6,1.83,,0.39,,17.5,,,1.05,0.16,,4.9,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,46.7,3.38,6.08,8.75,0.12,17.4,3.76,2.37,6.8,,153,1898,2410,,14,,1190,67.3,,,,,,,,,205,388,,,13.5,2.78,,0.64,,14.9,,,1.32,0.23,,6.3,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,48.5,3.2,6.28,8.24,0.11,17,3.67,2.35,6.72,,136,1714,2470,,13.3,,1075,60.4,,,,,,,,,148,262,,,8.8,1.47,,0.36,,18.7,,,1.36,0.2,,4.1,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,45.8,2.83,6.73,8.8,0.14,17,5.37,1.88,7.19,,247,1409,1500,,17,,1335,59.2,795,,,23,930,118,,,230,419,,,19,3.67,,0.8,,20.6,,,1.23,0.23,,18.2,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,48.9,3.12,6.42,7.35,0.09,15.5,4.95,1.36,8.32,,216,2630,2230,,15.1,,1290,53.8,,,,,,,,,174,326,,,17,3.19,,0.69,,18.2,,,0.97,0.16,,11.2,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,46.7,3.37,6.91,7.36,0.11,16,5.82,1.55,8.53,,197,3030,2390,,14.5,,1030,49.5,,,,,,,,,222,393,,,17.5,3.33,,0.81,,15.7,,,1.31,0.22,,14.5,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,50.5,2.92,8.29,7.12,0.1,9.94,7.38,2.11,7.87,,144,2340,2700,,16.9,,993,37.1,218,,,29,1218,82,,,246,450,,,21.4,4.11,,0.92,,27.2,,,1.07,0.15,,17.5,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,53.4,2.58,11.3,5.15,0.08,4.88,5.18,1.13,11.58,,200,1665,2750,,13.2,,413,20.8,,,,,,,,,142,266,,,12.4,2.78,,0.55,,15.2,,,1.1,0.2,,13.8,,
Lustrino et al. 2016 JVGR,USA (Kansas),Anorogenic,Lamproite,52.2,2.7,10.3,5.49,0.11,7.66,5.61,1.65,10.16,,169,2060,2630,,11.1,,525,26.7,,,,,,,,,141,235,,,11.4,2.59,,0.54,,11.4,,,1.2,0.21,,12.5,,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,46.93,4.49,6.9,9.5,0.13,9.89,10.29,1.11,3.95,1.49,57,1430,894,0.5,22,126,285,46,216,27,83,36.8,863,131,24.1,7.27,209,405,45.1,166,23.8,6.83,16.5,1.97,8.65,1.35,3.46,0.38,2.39,0.28,12,13.8,2.66,22
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,47.3,5.28,6.84,10.79,0.12,8.32,10.04,0.97,4.54,1.66,112,1540,681,1.9,23,142,234,52,185,25,1158,44.8,923,131,25.5,7.25,297,572,61.9,218,28.1,8.63,20.6,2.36,10.3,1.62,4.32,0.43,2.74,0.31,18,19.7,3.15,28
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,46.93,3.16,6.79,10.68,0.15,13.02,10.65,0.58,2.33,0.91,43,989,1430,0.6,21,161,570,60,413,42,117,24.6,466,111,12.8,6.42,152,270,31.1,108,14.9,4.38,10.9,1.31,5.64,0.88,2.33,0.27,1.77,0.2,19,12,1.7,18
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,50.79,5.09,6.43,7.71,0.11,5.61,12.16,0.5,2.79,1.39,58,1320,577,1,19,115,82,30,39,79,62,71,911.8,139,24.4,7.21,182,350,38.6,143,21.9,6.38,17.1,2.49,12.8,2.46,6.71,0.94,5.37,0.67,,14.8,2.89,22
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,51.82,4.56,7.96,9.6017,1,7.45,10.63,0.53,2.53,1.2,,958,1003,,,,252,59,201,28,118,92,173,124,,,156,486,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,47.45,4.75,6.97,7.322,0.16,7.13,11.51,1.44,4.88,1.25,,1755,661,,,,166,47,149,34,127,87,62,93,,,181,534,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,51.56,3.58,9.54,9.4251,0.12,8.36,6.2,0.67,6.64,1.55,,666,2969,,,39,354,52,268,79,144,78,,115,,,386,977,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,50.91,2.52,8.1,9.7217,0.12,11.68,7.35,1.16,4.11,0.8,,1025,702,,,40,404,36,247,7,104,67,,67,,,145,403,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,38.1,2.97,6.64,12.27,0.17,19.03,10.55,2.02,2.55,0.81,149,754,2128,5,19.6,249,672,72,671,59,103,22.4,239,104,5.1,5.06,77.1,172,16.9,57.3,9.72,2.98,,0.95,6.6,3.88,0.59,1.59,0.91,0.17,7,13.3,3.4,15.5
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,47.14,3,7.02,11.58,0.15,14.09,8.51,0.47,2.68,0.72,54,588,1689,1.11,20.7,151,716,,517,38.8,121,21.43,450,86,12.77,5.32,124,237,25.7,92.2,13.6,3.48,13.57,1.27,5.74,0.95,2.23,0.26,1.77,0.22,12.67,11,4.5,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,46.81,2.96,7.09,11.69,0.16,13.99,8.72,0.47,2.67,0.95,52,618,1478,1.05,19.5,145,769,,536,50.3,128,21.65,410,100,12.11,5.67,120,231,26.5,95.7,15.1,4.17,13.62,1.31,5.73,0.91,2.08,0.26,1.6,0.2,15.3,11,4.1,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,43.23,4.81,5.59,10.42,0.12,14.25,6.14,0.06,4.57,1.43,312,964,943,40.8,22.6,121,664,,498,64.7,48.6,27.93,478,163,11.77,7.95,254,493,55.3,196,27,7.02,23.2,1.98,7.98,1.22,3.11,0.34,2.04,0.26,27.5,18.8,4.82,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,42.79,4.71,5.49,10.38,0.11,14.79,6.01,0.05,4.87,1.4,320,971,928,38.7,21.7,116,670,,511,69.5,51.2,36.1,490,190,11.22,7.65,250,491,54.1,194,26.3,7.01,22.7,2.01,7.91,1.21,3.09,0.32,2.01,0.26,30.13,20.5,4.72,
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,50.78,4.88,5.76,9.93,0.1,8.54,9.37,0.72,2.19,1.8,36,1588,421,0.5,21,164,350,51,230,40,140,17,1241,176,28.6,10.2,340,658,66.9,233,26.6,6.05,13.9,1.3,4.9,0.7,1.5,0.19,1.2,0.17,105,16.8,2.5,23
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,48.76,4.15,6.56,11.01,0.14,9.71,8.41,1.31,5.26,1.67,123,1691,977,0.6,17,117,390,40,290,20,200,30,1064,157,25.7,10.1,339,643,64.7,223,26.1,6.25,15.4,1.6,7.2,1.2,3,0.37,2,0.26,101,22.5,5.5,21
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,49.19,3.97,6.29,9.48,0.12,9.4,7.85,1.26,5.55,1.45,139,1582,2812,0.7,16,117,420,41,240,20,120,19,1017,154,25.7,10.6,275,545,55.2,193,22,5.21,11.9,1.3,5.5,0.9,2.3,0.31,2,0.3,69,17.4,19.1,19
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,50.78,4.88,5.76,9.93,0.1,8.54,9.37,0.72,2.19,1.8,36,1588,421,0.5,21,164,350,51,230,40,140,17,1241,176,28.6,10.2,340,658,66.9,233,26.6,6.05,13.9,1.3,4.9,0.7,1.5,0.19,1.2,0.17,105,16.8,2.5,23
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,51.74,4.24,6.44,5.73,0.07,5.24,12.25,0.17,2.8,1.52,68,1022,445,0.5,17,97,430,45,260,30,80,22,862,160,27.4,11.1,333,626,62.1,209,24,5.04,13.4,1.4,5.8,0.9,2.1,0.26,1.5,0.21,41,27.2,4.2,20
Lustrino et al. 2016 JVGR,India,Anorogenic,Lamproite,49.18,4.09,6.45,9.8,0.09,8.27,9.65,1.18,3.82,1.62,68,1196,1350,0.6,16,122,350,32,210,20,90,24,1004,148,21.2,9.4,288,542,53.5,181,20,4.7,11.2,1.2,5.7,0.9,2.1,0.25,1.4,0.19,27,19.3,3.9,17
Lustrino et al. 2016 JVGR,India,Anorogenic,Orangeite-Lamproite,42.89,1.11,5.17,8.2,0.15,24.06,5.45,1.11,2.55,0.25,171,818,5193,,13.3,80,1346,66.1,1057,54,82.5,14.3,259,100,6.44,5.1,99.8,179,18.5,62.7,8.92,2.2,5.71,0.68,3.6,0.61,1.5,0.2,1.11,0.16,14.8,10.8,2.64,7
Lustrino et al. 2016 JVGR,India,Anorogenic,Orangeite-Lamproite,42.16,1.08,4.58,7.4,0.12,23.82,5.9,0.97,2.78,0.24,138,971,1797,,10.5,55,1256,63.5,1069,40,76.2,14.5,227,107,5.58,5.08,117,203,20.5,68.8,9.7,2.32,5.91,0.69,3.51,0.59,1.42,0.18,0.97,0.15,10.2,16.9,2.93,7
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,55.68,3.78,9.16,4.03,0.06,4.91,4.22,2.64,9.02,2.91,246,2505,6995,,16,88,243,20,203,36,110,25,528,71,11.3,1.9,214,463,53.6,202,26.6,6.26,13.5,1.42,6.62,0.94,1.85,0.2,0.92,0.11,112,25.5,5.5,26
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,55.11,3.17,10.14,4.52,0.04,5.28,3.57,2.39,9.42,2.58,247,2585,9699,,,,,,,,,25,1671,84,56.2,9.3,583,404,43.3,174,26.6,6.07,13.5,1.65,5.48,0.94,1.76,0.22,0.9,0.13,112,22.7,5.4,20
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,55,3.63,9.29,4.63,0.05,6.18,3.69,2.37,10.3,2.91,,2572,5442,,,,349,,287,,137,29,2642,74,67.6,2.2,233,442,52.9,215,31.3,7.39,17.4,1.96,7.52,1.05,2.19,0.24,1.12,0.15,251,19.4,8.8,
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,56.55,3.96,8.64,5.13,0.06,5.4,3.15,2.73,9.72,2.57,,2356,7946,,,129,288,,268,,108,32,2811,75,71.2,2.3,206,386,46.3,189,28.7,6.57,16.2,1.85,7.54,1.12,2.43,0.27,1.32,0.17,297,32.2,9.1,
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,56.8,3.72,8.76,4.66,0.05,5.23,3.41,2.48,9.81,2.78,,2462,9777,,,,295,,252,,108,31,3019,78,76.8,2.5,208,384,48.4,192,29.7,6.72,16.4,1.87,7.34,1.04,2.22,0.24,1.18,0.16,320,25.7,10.5,
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,56.2,3.79,8.95,4.97,0.05,5.45,3.05,2.6,10,2.46,,2386,13125,,,112,301,,260,,104,33,2669,76,68.4,2.2,221,430,51.8,204,31,7.4,17.4,2.01,7.96,1.14,2.47,0.29,1.37,0.19,297,32,7.1,
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,54.75,3.68,9.07,4.55,0.04,5.9,3.84,2.48,10.2,3.05,,2593,4853,,,,346,,283,,100,29,2752,66,70.2,2.3,222,441,52,211,31.7,7.34,17.4,1.95,7.45,1.05,2.29,0.23,1.16,0.14,297,22.7,8.7,
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,57.28,3.87,10.03,3.68,0.05,5.3,3.35,2.65,8.15,2.54,253,2070,,,16,82,254,20,231,18,116,15,3088,48,,,154,370,,,,,,,,,,,,,27,31,12,24
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,57.17,4.02,10.31,3.23,0.05,4.94,4.19,2.28,8.24,2.84,252,2307,,,11,79,250,18,228,14,98,19,2572,75,,,174,409,,,,,,,,,,,,,40,28,9,26
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,54.94,4.51,10.58,3.33,0.06,5.26,4.03,2.37,8.94,2.85,243,2198,,,14,118,277,18,253,17,116,16,2665,96,,,162,389,,,,,,,,,,,,,49,27,9,25
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,54.44,3.87,11.09,2.56,0.03,6.25,4.17,0.84,8.82,3.97,344,3030,,,11,75,313,19,258,76,105,23,2418,60,,,193,443,,,,,,,,,,,,,124,22,6,25
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,55.35,3.63,10.21,2.56,0.03,5.88,4.15,0.84,8.97,4.12,342,2596,,,11,85,278,21,245,84,111,25,2487,62,,,220,461,,,,,,,,,,,,,120,22,7,26
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,60.41,4.06,9.41,2.61,0.03,4.92,3.13,1.06,7.9,2.68,279,2412,,,15,65,243,18,200,81,119,17,2972,78,,,180,410,,,,,,,,,,,,,105,22,8,24
Lustrino et al. 2016 JVGR,Norway,Anorogenic,Lamproite,59.66,3.97,10.09,2.76,0.03,5.14,3.09,1.07,8.19,2.7,282,2399,,,11,62,243,19,199,70,115,17,2919,75,,,175,412,,,,,,,,,,,,,100,21,10,25
Lustrino et al. 2016 JVGR,Zambia,Anorogenic,Lamproite,51.12,1.71,7.69,7.34,0.08,12.09,5.27,1.71,5.69,0.62,103,873,2173,,12,84,672,55,739,51,74,15,348,93,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Zambia,Anorogenic,Lamproite,46.06,2.58,9.51,10.14,0.13,11.62,8.25,4.23,1.76,0.72,35,1473,3152,,14,144,417,59,389,84,103,20,424,116,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Zambia,Anorogenic,Lamproite,47.07,2.59,9.18,10.01,0.12,10.54,7.95,4.49,1.9,0.41,42,1420,2734,,13,144,405,59,366,75,97,18,424,115,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Zambia,Anorogenic,Lamproite,45.51,2.83,9.31,9.94,0.26,10.4,9.19,0.63,4.98,1.26,220,1398,2740,,15,151,521,64,427,91,119,20,448,123,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Zambia,Anorogenic,Lamproite,42.63,2.44,7.72,10.94,0.15,13.59,9.47,4.25,1.39,0.83,122,1577,2658,,16,150,574,72,609,111,120,23,339,93,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Zambia,Anorogenic,Lamproite,50.7,2.2,8.7,8.43,0.13,8.62,7.49,2.33,5.6,0.85,70,1520,4897,,13,124,350,49,409,89,96,17,433,107,,,,,,,,,,,,,,,,,,,,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Phlogopite lamproite,53.78,1.62,8.85,7.57,0.05,7.76,5.21,1.06,8.3,2.13,181,3464,7130,0.44,24,128,324,24,72,,,35,647,64,18,2.7,129,242,34,134,21,5.4,13.8,1.56,7,1.12,2.8,0.35,2.2,0.3,66,13.2,4.4,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Lamproite,46.54,1.32,9.34,7.36,0.13,10.73,4.4,1.04,7.4,1.68,378,1520,2520,30,31,200,760,48,560,,,42,493,2.5,15,0.85,150,360,,175,24,9.2,24,2.1,,,,0.43,2.2,0.35,,83,7.2,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Lamproite,46.87,1.33,9.32,7.01,0.12,11.02,4.51,0.55,7.44,1.44,437,1150,1970,32,26,210,630,29,530,,,34,471,6.5,16,0.86,91,235,,150,20,6,15,1.6,,,,0.5,1.8,0.24,,80,8.7,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Lamproite,48.28,1.74,9.41,5.95,0.1,7.63,7.09,0.3,9.13,2.06,357,1610,2900,12,28,190,880,20,340,,,36,824,8.3,29,1.5,145,360,,200,23,9.4,19,2.3,,,,0.8,2.2,0.35,,64,4.8,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Lamproite,53.68,1.36,10.5,6.42,0.08,8.24,4.8,0.3,4.79,1.39,219,426,1100,10,29,210,1000,47,600,,,26,514,6,16,1.05,80,205,,135,19,4.8,11.5,1.3,,,,0.45,1.7,0.25,,66,5.2,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Lamproite,50.61,1.37,11.07,7.98,0.16,8.88,6.46,1.54,7.05,1.39,331,971,2100,18,40,230,570,40,280,,,42,,1.4,12,0.83,87,230,,150,22,7.3,20,1.8,,,,0.43,2.3,0.36,,94,6.5,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Lamproite,48.23,1.17,9.82,8.93,0.16,15.1,5.3,0.75,5.73,1.38,335,576,4817,55,22,,,,,,,32,390,19.6,10,1,82,177,21,95,20,5,13.3,1.7,6.3,1,2.4,0.3,1.8,0.3,94,44,9.4,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Lamproite,49.41,1.31,9.52,8.91,0.16,12.8,6.69,0.3,6.49,1.77,320,778,6187,27,28,,,,,,,34,359,20,9,1.04,93,225,25,113,25,6.3,15.6,1.9,6.9,1.1,2.5,0.3,2,0.3,94,54,7.5,
Lustrino et al. 2016 JVGR,Russia,Anorogenic,Lamproite,49.75,1.32,9.85,9.03,0.15,12.31,6.36,0.76,6.57,1.56,314,744,5912,27,27,,,,,,,33,337,18,8,0.84,89,192,24,106,24,5.7,14.3,1.8,6.1,1,2.3,0.3,1.7,0.3,79,45,6.3,
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,43.69,2.74,6.91,8.31,0.07,8.84,12.06,0.25,4.96,1.09,85.89,1103,2438,8.21,15.05,118.1,599.2,53.88,532.6,58.79,93.67,20.6,566.6,135,13.17,7.02,164.9,293.4,33.28,109,14.3,3.56,8.15,1.05,4.77,0.75,1.78,0.22,1.42,0.18,16.17,22.18,3.72,15.81
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,43.85,2.69,6.93,8.29,0.07,8.84,11.91,0.22,4.93,1.05,82.25,1085,2450,8.11,13.96,114.2,462.2,52.42,516.8,55.32,86.96,20.07,554.4,130,12.48,6.52,160.1,288.5,32.37,104.6,13.21,3.25,7.6,0.96,4.61,0.73,1.66,0.21,1.24,0.16,15.64,22.79,3.81,15.2
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,43.07,2.85,6.86,8.37,0.07,8.9,12.38,0.25,4.91,1.14,85.6,1152,2553,8.6,15.72,119.7,506.8,55.15,528.1,57.48,104.8,22.04,532.6,127.6,12.06,6.71,161.6,287.9,32.17,108.5,14.73,3.78,8.94,1.12,5.34,0.77,1.92,0.23,1.38,0.18,18.76,18.49,4.07,15.25
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,43.47,2.83,6.86,8.43,0.08,8.82,12.21,0.22,4.79,1.13,82.8,1134,2841,8.97,14.58,115.3,499.5,52.57,500.8,57.96,93.57,23.3,532.3,131.2,12.37,6.96,166.5,297.3,33.4,111.3,14.11,3.77,8.71,1.13,5.08,0.82,1.92,0.22,1.52,0.2,21.28,21.49,3.92,15.31
Xiang et al. 2020  CMP,China (Yangtze Block),Anorogenic,Lamproite,43.1,2.73,6.88,8.1,0.07,7.84,12.02,0.27,5,1.09,80.37,1128,1884,6.73,14.58,119.9,459.2,54.34,518,59.9,97.53,20.67,581.5,132.3,13.27,6.94,163.6,287.6,32.99,107.5,13.89,3.45,7.93,1,4.73,0.74,1.69,0.22,1.37,0.19,18.37,22.2,3.62,15.3
